"","EVENT","M","Period","dBe"
"495","6000272",8,4,0.0969553724490632
"496","6000323",7.98,4,-0.569233020252093
"497","6000338",8.31,4,-0.314938925693749
"498","6000339",7.82,4,0.229329467542693
"499","ak0219neiszm",8.2,4,0.478371172794335
"500","us10007mn3",7.6,4,1.12893460073354
"501","us2000d3km",7.2,4,0.918301848095593
"502","us7000asvb",7.8,4,0.238788103566151
"503","us7000i9bw",7.6,4,0.774464086898375
"504","us7000kg30",7.2,4,0.182827762086666
"505","3000105",7.66,5,-0.143375734260499
"506","4000001",9.12,5,-0.577995015693077
"507","4000002",7.36,5,-0.531201651598874
"508","4000068",8.29,5,-0.212551793655355
"509","4000094",7.76,5,-0.434939334260776
"510","4000096",7.65,5,-0.650389835512685
"511","4000165",6.74,5,-0.530118644477144
"512","6000057",8.41,5,0.771349518381889
"513","6000079",8.15,5,-0.294554877685926
"514","6000149",8.81,5,0.230478019694192
"515","6000272",8,5,-0.0389531625056172
"516","6000338",8.31,5,-0.340909955176179
"517","6000339",7.82,5,0.260098517104324
"518","ak0219neiszm",8.2,5,0.352330921091528
"519","us10007mn3",7.6,5,0.977148192824233
"520","us2000d3km",7.2,5,0.555059363749328
"521","us7000asvb",7.8,5,-0.0395063920483311
"522","us7000i9bw",7.6,5,0.722534013607295
"523","us7000kg30",7.2,5,-0.0745021495783433
"524","3000105",7.66,7.5,0.0245384803258245
"525","4000001",9.12,7.5,-0.587938731535859
"526","4000002",7.36,7.5,-0.528218328681601
"527","4000068",8.29,7.5,-0.180649881902798
"528","4000094",7.76,7.5,-0.375633439632737
"529","4000165",6.74,7.5,-0.449989288688298
"530","6000057",8.41,7.5,0.284963838881915
"531","6000079",8.15,7.5,-0.269516775731264
"532","6000149",8.81,7.5,0.328112314118886
"533","6000272",8,7.5,-0.157759922016519
"534","6000338",8.31,7.5,-0.0690424615996989
"535","6000339",7.82,7.5,0.539981347084574
"536","ak0219neiszm",8.2,7.5,0.354857628231791
"537","us10007mn3",7.6,7.5,0.48975912382216
"538","us2000d3km",7.2,7.5,0.285655246444046
"539","us7000asvb",7.8,7.5,-0.147580558990922
"540","us7000i9bw",7.6,7.5,0.477887948640776
"541","us7000kg30",7.2,7.5,-0.0194265387702593
"542","3000105",7.66,10,-0.0304655312289049
"543","4000001",9.12,10,-0.536041267528165
"544","4000002",7.36,10,-0.143034995539469
"545","4000068",8.29,10,-0.268391935126034
"546","4000094",7.76,10,-0.401349309404554
"547","4000165",6.74,10,-0.43699315253302
"548","6000079",8.15,10,-0.130209386180191
"549","6000149",8.81,10,0.472698526474016
"550","6000272",8,10,-0.262228789395021
"551","6000338",8.31,10,0.126300851813093
"552","6000339",7.82,10,0.787642878943908
"553","ak0219neiszm",8.2,10,0.247125748142877
"554","us10007mn3",7.6,10,0.580543046340929
"555","us2000d3km",7.2,10,0.265294361152759
"556","us7000asvb",7.8,10,-0.255088711130907
"557","us7000kg30",7.2,10,-0.0158023348013211
